2020-11-29T12:22:45.321Z: info - Request: GET /fonts/roboto-mono-v6-latin-regular.woff2
2020-11-29T12:22:45.321Z: info - Serving file '../../../website/public/fonts/roboto-mono-v6-latin-regular.woff2'...
2020-11-29T12:22:45.322Z: info - Request: GET /docs/1-getting-started/images/cygwin-1.png
2020-11-29T12:22:45.324Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-1.png'...
2020-11-29T12:22:45.324Z: info - Request: GET /docs/1-getting-started/images/cygwin-2.png
2020-11-29T12:22:45.325Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-2.png'...
2020-11-29T12:22:45.327Z: info - Request: GET /docs/1-getting-started/images/cygwin-3.png
2020-11-29T12:22:45.328Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-3.png'...
2020-11-29T12:22:45.329Z: info - Request: GET /docs/1-getting-started/images/cygwin-6.png
2020-11-29T12:22:45.330Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-6.png'...
2020-11-29T12:22:45.332Z: info - Request: GET /docs/1-getting-started/images/cygwin-7.png
2020-11-29T12:22:45.333Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-7.png'...
2020-11-29T12:22:45.334Z: info - Request: GET /docs/1-getting-started/images/cygwin-8.png
2020-11-29T12:22:45.335Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-8.png'...
2020-11-29T12:22:45.337Z: info - Request: GET /docs/1-getting-started/images/ubuntu-1.png
2020-11-29T12:22:45.338Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ubuntu-1.png'...
2020-11-29T12:22:45.339Z: info - Request: GET /docs/1-getting-started/images/virtualbox-1.png
2020-11-29T12:22:45.341Z: info - Serving file '../../../website/public/docs/1-getting-started/images/virtualbox-1.png'...
2020-11-29T12:22:45.345Z: info - Request: GET /docs/1-getting-started/images/virtualbox-2.png
2020-11-29T12:22:45.347Z: info - Serving file '../../../website/public/docs/1-getting-started/images/virtualbox-2.png'...
2020-11-29T12:22:45.347Z: info - Request: GET /docs/1-getting-started/images/virtualbox-3.png
2020-11-29T12:22:45.350Z: info - Request: GET /docs/1-getting-started/images/virtualbox-4.png
2020-11-29T12:22:45.350Z: info - Serving file '../../../website/public/docs/1-getting-started/images/virtualbox-4.png'...
2020-11-29T12:22:45.351Z: info - Serving file '../../../website/public/docs/1-getting-started/images/virtualbox-4.png'...
2020-11-29T12:22:45.353Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-1.png
2020-11-29T12:22:45.355Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-2.png
2020-11-29T12:22:45.355Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-2.png'...
2020-11-29T12:22:45.358Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-2.png'...
2020-11-29T12:22:45.361Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-3.png
2020-11-29T12:22:45.363Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-3.png'...
2020-11-29T12:22:45.365Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-4.png
2020-11-29T12:22:45.367Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-4.png'...
2020-11-29T12:22:45.368Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-5.png
2020-11-29T12:22:45.369Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-5.png'...
2020-11-29T12:22:45.374Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-6.png
2020-11-29T12:22:45.375Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-6.png'...
